name,label,ccc,p_log,replicates,Method,Draw,ccc_hat,selected_lambda,time
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.2,1477,NA,15.156397581100464
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.3,1345,NA,13.709341764450073
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.1,2921,0,3.892508844534556
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.2,2935,0,3.8156710902849835
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.3,2946,0,3.7427896936734517
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.1,2921,NA,20.355353593826294
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.2,2935,NA,19.868919610977173
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.3,2946,NA,20.765265703201294
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.1,1479,0,2.678480871518453
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.2,1477,20,2.634470542271932
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.3,1457,5,2.638103199005127
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.1,1479,NA,13.548847198486328
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.2,1477,NA,14.032707452774048
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.3,1457,NA,14.436849594116211
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.1,2924,0,3.830895547072093
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.2,2967,30,3.84288729429245
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.3,2932,0,3.864503328005473
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.1,2924,NA,20.127122402191162
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.2,2967,NA,20.84504246711731
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.3,2932,NA,19.560880422592163
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.1,1470,30,2.6979004383087157
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.2,1355,0,2.7904216289520263
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.3,1443,20,2.7639184991518655
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.1,1470,NA,15.093273401260376
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.2,1355,NA,14.187142848968506
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.3,1443,NA,13.132546424865723
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.1,2942,5,3.973943054676056
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.2,3169,0,3.891046126683553
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,gof,r1.3,3184,0,3.8959178725878396
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.1,2942,NA,21.98727059364319
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.2,3169,NA,21.88943314552307
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 6)",2000,0.9937285,6,mle_no_pen,r1.3,3184,NA,22.808825731277466
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.1,1330,30,2.7301976084709167
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.2,1459,5,2.6495919744173686
