Nodes	12.07.2006.2b	02.07.2008	12.07.2009.1b	08.08.2009.2b	22.08.2009.1	12.09.2006.2b	05.07.2011.2	17.10.2012.2	18.08.2008.2d	25.07.2009.b	14.08.2012.1	02.09.2009.2	04.08.2008.4b	02.06.2008	15.07.2008	16.06.10.1	12.07.2006.1b	19.10.10.2	17.09.2012.2	24.04.12.1	16.06.10.2	25.07.06.1	27.08.13.2	16.09.10.1	27.10.08.2	15.08.2006.1a	23.10.13.2	26.09.2006.1b	12.10.11.2	01.06.08.1	23.09.2009.1	05.07.10.1	27.08.13.1	19.09.07.2	10.08.10.1	17.09.13.2	16.09.09.2	12.10.11.1	27.10.08.1	03.07.13.1	12.06.11.1	12.07.10.2	19.07.11.1	17.09.13.1	22.08.10.1	12.07.10.1	16.09.10.2	23.08.11.2	29.08.08.2	23.09.2009.2	15.05.11.1	23.08.11.1	07.06.12.2	05.05.10.1	05.05.10.2	26.09.07.2	12.09.11.1	23.10.13.1	05.06.13.2	07.06.12.1	16.08.13.2	06.07.07.2	05.06.13.1	29.08.08.1	16.08.13.1	10.08.10.2	22.08.07.2	05.09.06.1	02.08.07.1	27.06.06.1	07.10.08.6b	10.10.07.1	22.08.06.1	05.09.07.2	12.09.11.2	27.06.06.2	19.10.10.1	26.09.07.1	09.05.07.1	22.08.07.1	16.10.2006.2b	19.09.07.1	02.08.07.2	04.08.2008.2b	22.08.2009.p1	02.09.09.1	21.06.2011.2	15.10.09.p2	03.09.08.2b	25.06.2008.a	26.07.10.1	06.07.07.1	09.08.11.1	20.07.2012.2	29.07.2009.2d	13.06.2006.2c	19.07.11.2	20.05.2009.1	16.09.09.1	07.10.2008.5b	22.05.08.1	15.08.2006.2a	15.10.2009.1	29.08.07.2	09.08.11.2	17.09.2008.3b	21.06.2011.1	15.07.2008.2	02.08.2006.1b	19.06.2009.1	01.06.2008	18.08.2008.4d	08.07.2009.2	03.07.13.2	08.08.2009.p2	12.09.2006.1a	05.09.06.2	09.05.07.2	22.08.06.2	17.10.2012.1	20.05.2009.2	25.06.2008.b	05.09.07.1	13.06.2006.1c	28.07.2008.3d	08.07.2009.1	12.07.2009.2b	25.07.2009.p2	14.08.2012.2	20.07.2012.1	10.10.06.1	19.06.2009.2	05.07.2011.1	17.09.2008.1d	02.08.2006.2b	taxa
389	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	2	0	2	0	2	8	1	0	1	3	0	3	21	4	1	2	1	1	0	0	0	0	1	0	1	55	80	23	13	0	6	2	18	2	7	1	10	0	70	3	0	30	3	26	2	5	7	29	0	15	1	9	0	10	1	2	0	0	5	4	1	0	0	16	0	0	0	1	0	6	4	2	1	2	1	1	0	0	4	0	0	31	1	0	0	4	0	31	6	1	6	0	1	0	2	2	0	14	3	2	0	3	10	8	8	1	0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__"
402	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	13	0	0	0	0	0	0	0	1	0	0	0	0	10	0	1	0	33	0	0	0	6	1	0	0	0	3	0	0	1	7	16	12	3	2	0	14	7	1	20	0	0	0	11	0	4	0	5	5	2	57	0	0	0	4	0	5	0	0	41	0	0	1	0	0	9	0	1	0	1	0	27	0	0	20	0	0	17	0	0	36	2	3	0	0	0	0	0	13	0	1	0	0	0	1	78	0	0	0	19	55	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__OM27; g__; s__"
403	0	1	0	0	0	0	1	1	0	0	0	0	0	7	0	2	3	8	0	20	1	0	0	0	2	0	4	2	0	26	0	0	0	1	0	1	0	3	4	6	14	0	2	0	0	0	0	0	1	0	85	0	3	68	29	0	1	2	12	5	0	0	7	1	0	0	0	2	0	56	0	2	0	0	1	35	13	0	103	0	6	0	0	0	0	0	64	0	0	20	0	0	0	0	0	37	4	163	0	3	94	0	1	1	0	0	82	0	0	146	50	0	1	7	0	1	5	206	0	6	4	101	0	51	0	12	0	0	0	0	2	13	80	4	2	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__"
476	4	1	0	3	14	1	4	5	4	0	0	5	2	0	6	187	39	24	50	0	222	7	50	729	28	17	13	29	17	22	17	117	25	50	12	116	5	60	48	336	39	46	171	55	5	13	146	24	83	33	0	16	89	0	0	47	27	17	66	53	62	147	45	78	6	4	29	18	81	32	9	73	36	80	36	55	19	91	0	20	58	197	188	4	113	29	17	1	6	1609	27	802	2	10	7	72	61	5	16	13	3	42	1	169	2	17	29	46	15	1	51	50	72	787	157	38	68	0	198	119	64	823	141	50	9	176	42	0	57	45	4	132	243	147	87	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
477	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	54	0	0	0	2	0	0	1	0	0	1	0	0	0	8	0	2	0	0	5	0	0	0	0	3	0	5	0	3	3	0	0	0	4	0	0	0	0	13	0	0	0	3	0	0	1	69	4	0	0	0	0	3	0	4	0	25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	5	0	2	0	1	0	1	0	0	87	0	0	2	0	0	0	5	0	0	11	0	0	0	0	0	0	0	0	0	16	0	3	0	4	2	343	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
479	0	0	0	0	0	1	1	0	5	2	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	1	16	0	9	31	3	1	2	3	0	2	0	0	0	0	2	0	0	0	3	0	0	1	22	23	1	0	29	3	3	0	2	0	1	1	0	0	0	2	0	0	24	7	0	0	1	0	2	0	1	4	1	0	0	0	56	0	0	9	0	2	0	0	1	0	1	0	17	0	0	8	1	3	0	1	0	0	7	0	4	0	0	0	0	1	1	24	75	72	2	0	43	9	91	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
512	2	1	3	0	15	0	0	5	2	4	8	22	1	0	17	79	7	1	11	4	30	31	1	13	54	13	3	6	10	12	73	85	6	44	13	3	67	14	33	11	32	1	46	2	3	4	16	29	76	126	3	43	12	1	0	120	93	11	1	7	58	40	14	92	32	36	27	49	129	149	17	40	239	56	48	426	0	61	0	62	35	82	59	26	488	255	7	310	36	23	36	219	1	19	3	39	57	2	320	26	80	48	121	163	1	277	9	78	27	7	44	59	76	102	115	19	78	0	340	68	179	159	221	85	41	431	104	13	108	63	43	247	59	830	367	"k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__u114; s__"
596	2	0	0	0	0	7	7	8	0	2	0	2	0	0	19	14	4	9	44	0	16	0	2	2	249	6	52	20	25	0	11	6	1	1	7	33	1	58	45	68	3	18	1	18	9	4	1	9	7	5	12	23	19	17	128	1	5	51	34	10	49	146	17	5	0	24	14	20	0	4	16	3	0	201	1	4	5	3	41	9	0	3	1	7	68	1	5	17	1	0	1	50	0	28	1	11	20	23	0	14	21	20	2	7	0	533	4	34	0	118	1	32	13	200	285	81	35	113	3	24	93	30	152	5	28	47	17	3	12	4	8	40	222	585	1	Unassigned
603	0	0	1	0	0	1	0	0	24	3	1	0	5	0	1	0	4	0	1	0	0	1	1	0	0	1	0	1	1	2	2	1	0	1	2	8	0	1	0	0	0	2	0	12	4	4	1	4	0	0	0	5	0	0	0	2	3	4	0	0	0	0	0	0	3	10	2	0	2	7	1	1	0	1	7	6	1	5	0	3	0	2	3	19	0	0	0	0	11	0	34	1	198	4	0	0	0	0	0	11	0	13	0	0	399	4	1	0	44	0	3	35	19	0	5	5	0	0	4	2	9	0	1	0	0	5	64	9	4	7	7	5	1	7	140	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__; s__"
665	0	0	4	0	0	0	0	0	0	4	0	1	2	0	102	56	1	1	0	0	57	13	18	142	15	1	6	79	0	0	148	38	7	11	2	36	0	0	61	50	1	23	96	3	19	25	64	1	11	181	0	2	31	0	0	7	1	8	7	30	41	11	4	12	3	3	22	10	35	0	0	9	1	38	0	0	2	12	0	47	124	36	90	3	1	0	0	14	2	10	5	59	0	24	11	1	141	0	16	12	2	7	19	20	2	0	0	626	35	2	0	0	106	153	39	13	10	1	4	1	159	5	71	3	358	8	44	7	0	12	61	11	0	8	243	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__; g__; s__"
