name,label,ccc.x,alpha.x,delta.x,replicates,Method,Draw,ccc.y,alpha.y,delta.y,r,ccc_hat,absolute_error,alpha_hat,delta_hat,selected_lambda,time
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.42,1000,0.1,0.001,10,924,76,0.10932248837346353,0.0010703274576933084,0,10.008450269699097
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.43,1000,0.1,0.001,10,1071,71,0.08784282414948769,9.069848637296095e-4,60,10.073255332310994
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.44,1000,0.1,0.001,10,1131,131,0.08749378354856997,0.001185571005449722,10,10.050500508149465
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.45,1000,0.1,0.001,10,916,84,0.12083949934056917,0.0011129926945498063,60,10.212893545627594
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.46,1000,0.1,0.001,10,949,51,0.10680358890818384,0.0010936699753453928,130,10.347021090984345
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.47,1000,0.1,0.001,10,1122,122,0.08593025669990263,0.001153727629890151,20,9.970233476161956
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.48,1000,0.1,0.001,10,3213,2213,0.02307530897574334,7.284834593789836e-4,10,10.148973007996878
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.49,1000,0.1,0.001,10,888,112,0.11956846264806298,0.0011177548505758223,20,9.999259340763093
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.50,1000,0.1,0.001,10,896,104,0.12492426765476614,0.0012595158562241748,30,9.912211124102274
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.1,1000,0.1,0.001,10,706,294,0.1737763582356749,0.0012261709626233542,20,9.766881151994069
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.2,1000,0.1,0.001,10,931,69,0.11788687471601146,0.0010879614557958337,130,10.088509885470073
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.3,1000,0.1,0.001,10,924,76,0.11633827410129514,0.0010062633156976914,90,10.236668996016185
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.4,1000,0.1,0.001,10,916,84,0.12349310726124987,0.001093215933479903,120,10.37831331094106
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.5,1000,0.1,0.001,10,900,100,0.11131455472587556,0.0010756806181796926,0,9.931890102227529
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.6,1000,0.1,0.001,10,935,65,0.11507772428768448,0.0011779516371410908,90,10.103957418600718
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.7,1000,0.1,0.001,10,1110,110,0.09450808625530487,0.00108770442677822,10,10.030075891812642
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.8,1000,0.1,0.001,10,1095,95,0.0870309380946892,0.0010040987437490052,30,9.891331803798675
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.9,1000,0.1,0.001,10,923,77,0.11747775019642072,0.0010670231298674357,60,10.179500897725424
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.10,1000,0.1,0.001,10,895,105,0.12266644881409947,0.0012590959042023619,50,9.96468091805776
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.11,1000,0.1,0.001,10,1116,116,0.087286284938989,0.0010020334014233748,100,9.952463416258494
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.12,1000,0.1,0.001,10,1120,120,0.08601384945534268,0.0011447557698765212,0,9.837351910273235
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.13,1000,0.1,0.001,10,704,296,0.17995055694347536,0.001322909537033323,50,9.820490288734437
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.14,1000,0.1,0.001,10,1093,93,0.08694602566854658,0.0010426384817070421,0,10.388297438621521
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.15,1000,0.1,0.001,10,1063,63,0.09246229218769642,9.81852266124061e-4,110,9.609755440553029
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.16,1000,0.1,0.001,10,910,90,0.11155197896604878,0.0010865063869131097,0,10.069876674811045
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.17,1000,0.1,0.001,10,910,90,0.11325897188830537,0.0011094499925299749,0,10.3601002852122
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.18,1000,0.1,0.001,10,1129,129,0.0913349751662873,0.0011386269056782529,0,10.402883565425872
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.19,1000,0.1,0.001,10,733,267,0.1703529549530012,0.001223517634628007,120,9.978762952486674
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.20,1000,0.1,0.001,10,1105,105,0.0880256195543057,0.0010114862178558469,90,10.214591379960378
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r2.21,1000,0.1,0.001,10,1110,110,0.08850323982000695,0.0010146178451574004,40,9.860422503948211
