method,ccc,alpha,delta,r,ccc_hat,absolute_error,alpha_hat,delta_hat,selected_lambda,time,sim_subset,draw,id,eta,alpha_delta_r
[0] MLE,1e3,0.1,0.001,14,837,163,0.13063778393200526,0.001170628342228915,NA,554.5690000000013,1,3,3,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[0] MLE,1e3,0.1,0.001,14,826,174,0.12861580619326132,0.0011277971467403942,NA,556.7540000000008,1,4,4,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[0] MLE,1e3,0.1,0.001,14,981,19,0.1015375010324408,0.0011062598440161084,NA,581.6900000000005,1,5,5,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[0] MLE,1e3,0.1,1e-5,14,872,128,0.12787438152736477,8.218458370980037e-6,NA,835.5199999999986,1,1,1,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,1e-5,14,846,154,0.13297678661634912,8.12947826904511e-6,NA,818.280999999999,1,2,2,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,1e-5,14,854,146,0.13205487179950837,7.984939720131232e-6,NA,816.0450000000001,1,3,3,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,1e-5,14,845,155,0.13238337928865257,8.49687445394787e-6,NA,820.7209999999995,1,4,4,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[0] MLE,1e3,0.1,1e-5,14,848,152,0.13769987536709538,6.347510086848586e-6,NA,825.9569999999985,1,5,5,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[3] GOF,1e3,0.1,0.001,14,958,42,0.10599669869559572,0.001063311581408756,0,11622.771999999997,1,1,1,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,0.001,14,2104,1104,0.038208569220614434,7.886408169660862e-4,10,11621.818999999989,1,2,2,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,0.001,14,837,163,0.12837773762718047,0.0011251746067193029,20,11452.754000000015,1,3,3,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,0.001,14,929,71,0.11683676945532208,0.0011145898164173734,40,11386.053000000014,1,4,4,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,0.001,14,872,128,0.1247065357780431,0.0011013365318807776,120,11699.10500000001,1,5,5,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[3] GOF,1e3,0.1,1e-5,14,1017,17,0.09997187328925998,6.425192104553491e-6,0,16434.429999999993,1,1,1,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[3] GOF,1e3,0.1,1e-5,14,846,154,0.13530949994994024,6.107521855377373e-6,50,16256.144,1,2,2,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[3] GOF,1e3,0.1,1e-5,14,854,146,0.13773211441360358,6.121213192876255e-6,120,16267.377999999968,1,3,3,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
[3] GOF,1e3,0.1,1e-5,14,845,155,0.13240705652770166,7.216539929374671e-6,70,16326.744999999995,1,4,4,"(1e-01, 1e-05)","((1e-01, 1e-05),14)"
